feature,gain,split
trial_time_diff_from_best,58078.68252301216,280
trial_time_rank,22728.00947523117,154
field_size,12086.895046949387,253
post_position,8887.242836475372,282
field_trial_std,8212.233456373215,413
trial_deviation,7116.22115945816,398
rider_track_win_rate,6778.753427028656,411
relative_win_strength,4516.596873044968,170
handicap_meters,4042.1997122764587,142
avg_finish_30,3776.3985683918,168
avg_finish_10,3265.8284890651703,173
rider_wet_win_rate,3257.2510104179382,370
generation,3012.9231581687927,254
field_avg_finish,3000.1837723255157,264
top3_rate_30,2788.0210247039795,102
field_avg_trial,2417.9576983451843,249
trial_vs_avg_90d,2201.323513507843,256
handicap_rank,2125.2418484687805,116
momentum,2081.07332444191,225
trial_time,2011.5868372917175,188
total_races,1351.9257390499115,197
top3_rate_10,1227.230075120926,61
avg_trial_time_30d,1197.3073506355286,181
trial_time_trend,1167.7113325595856,177
avg_trial_time_90d,1156.5243618488312,161
top2_rate_10,1019.7185506820679,56
humidity,968.8934574127197,144
track_id,833.7607433795929,96
finish_std_10,787.9357779026031,130
win_rate_30,777.7987740039825,73
track_temperature,772.8996012210846,103
field_avg_win_rate,714.1883172988892,84
temperature,444.3821597099304,67
days_since_last_race,437.58354806900024,58
handicap_vs_trial,402.2312698364258,51
gap_to_top_rival,379.55130767822266,24
form_rank_in_field,315.11543250083923,29
field_max_win_rate,92.59757995605469,15
track_condition,88.38490104675293,12
weather,85.52799034118652,13
win_rate_10,45.91442012786865,8
grade,0.0,0
distance,0.0,0
